id;coinId;topicId;courseId;questionTitle;questionType;answerList;answerType;priority;isAnsweredCorrectly
0;0;0;0;Which of these is "Chair"?;VAQUESTION;[{"localImage":2131165285,"title":"Chaise"},{"localImage":2131165380,"title":"Table"},{"localImage":2131165389,"title":"Mur"},{"localImage":2131165283,"title":"Plafond"}];{"position":0};0;
1;0;0;0;Which of these is "Table"?;VAQUESTION;[{"localImage":2131165285,"title":"Chaise"},{"localImage":2131165380,"title":"Table"},{"localImage":2131165389,"title":"Mur"},{"localImage":2131165283,"title":"Plafond"}];{"position":1};0;
2;0;0;0;Which of these is "Wall"?;VAQUESTION;[{"localImage":2131165389,"title":"Mur"},{"localImage":2131165380,"title":"Table"},{"localImage":2131165285,"title":"Chaise"},{"localImage":2131165298,"title":"Par terre"}];{"position":0};0;
3;0;0;0;Which of these is "Floor"?;VAQUESTION;[{"localImage":2131165283,"title":"Plafond"},{"localImage":2131165389,"title":"Mur"},{"localImage":2131165285,"title":"Chaise"},{"localImage":2131165298,"title":"Par terre"}];{"position":3};0;
4;0;0;0;Which of these is "Chair"?;MCQUESTION;[{"title":"Table"},{"title":"Chaise"}];{"position":1};0;
5;0;0;0;Which of these is "Wall"?;MCQUESTION;[{"title":"Chaise"},{"title":"Mur"}];{"position":1};0;
8;0;0;0;Which of these is "Ceiling"?;VAQUESTION;[{"localImage":2131165298,"title":"Par terre"},{"localImage":2131165380,"title":"Table"},{"localImage":2131165389,"title":"Mur"},{"localImage":2131165283,"title":"Plafond"}];{"position":3};0;
7;0;0;0;Which of these is "Floor"?;VAQUESTION;[{"localImage":2131165298,"title":"Par terre"},{"localImage":2131165380,"title":"Table"},{"localImage":2131165285,"title":"Chaise"},{"localImage":2131165389,"title":"Mur"}];{"position":0};0;
0;1;0;0;Which of these is "Table"?;MCQUESTION;[{"title":"Chaise"},{"title":"Table"},{"title":"Mur"},{"title":"Plafond"}];{"position":1};0;
1;1;0;0;Which of these is "Chaise"?;VMCQUESTION;[{"localImage":2131165285},{"localImage":2131165389}];{"position":0};0;
2;1;0;0;Which of theses is "Ceiling"?;VAQUESTION;[{"localImage":2131165283,"title":"Plafond"},{"localImage":2131165380,"title":"Table"},{"localImage":2131165285,"title":"Chaise"},{"localImage":2131165298,"title":"Par terre"}];{"position":0};0;
3;1;0;0;Which of this is "Floor"?;VAQUESTION;[{"localImage":2131165283,"title":"Plafond"},{"localImage":2131165389,"title":"Mur"},{"localImage":2131165285,"title":"Chaise"},{"localImage":2131165298,"title":"Par terre"}];{"position":3};0;
4;1;0;0;Tap the pairs;TPQUESTION;[{"title":"Par terre"},{"localImage":2131165298},{"localImage":2131165283},{"title":"Plafond"}];{"list":[{"first":0,"second":1},{"first":2,"second":3}]};0;
5;1;0;0;Tap the pairs;MCQUESTION;[{"title":"Par terre"},{"title":"Floor"},{"title":"Ceiling"},{"title":"Plafond"}];{"list":[{"first":0,"second":1},{"first":2,"second":3}]};0;
6;1;0;0;Which of these is "Wall"?;VAQUESTION;[{"title":"Par terre"},{"title":"Table"},{"title":"Mur"},{"title":"Plafond"}];{"position":2};0;
7;1;0;0;Which of these is "Chaise"?;VAQUESTION;[{"localImage":2131165298,"title":"Par terre"},{"localImage":2131165380,"title":"Table"},{"localImage":2131165285,"title":"Chaise"},{"localImage":2131165389,"title":"Mur"}];{"position":2};0;
0;2;0;0;Tap the pairs;VTPQUESTION;[{"title":"Table"},{"localImage":2131165380},{"title":"Plafond"},{"localImage":2131165283},{"title":"Chaise"},{"localImage":2131165285},{"localImage":2131165389},{"title":"Mur"}];{"list":[{"first":0,"second":1},{"first":2,"second":3},{"first":4,"second":5},{"first":6,"second":7}]};0;
1;2;0;0;Tap the pairs;VTPQUESTION;[{"title":"Par terre"},{"title":"Plafond"},{"localImage":2131165298},{"title":"Chaise"},{"localImage":2131165285},{"localImage":2131165389},{"title":"Mur"},{"localImage":2131165283}];{"list":[{"first":0,"second":2},{"first":1,"second":7},{"first":3,"second":4},{"first":5,"second":6}]};0;
2;2;0;0;Tap the pairs;TPQUESTION;[{"title":"Table"},{"title":"Chaise"},{"title":"Table"},{"title":"Wall"},{"title":"Chair"},{"title":"Plafond"},{"title":"Mur"},{"title":"Ceiling"}];{"list":[{"first":0,"second":2},{"first":1,"second":4},{"first":3,"second":6},{"first":5,"second":7}]};0;
3;2;0;0;Which of these is “3 Chaises”?;NUMERIC;[{"localImage":2131165392},{"localImage":2131165286}];{"position":1};0;
4;2;0;0;Which of these is "Ceiling"?;MCQUESTION;[{"title":"Chaise"},{"title":"Par terre"},{"title":"Mur"},{"title":"Plafond"}];{"position":3};0;
5;2;0;0;Which of theses is "Wall"?;MCQUESTION;[{"title":"Par terre"},{"title":"Mur"},{"title":"Plafond"},{"title":"Chaise"}];{"position":1};0;
6;2;0;0;Which of these is "Floor"?;MCQUESTION;[{"title":"Table"},{"title":"Par terre"},{"title":"Mur"},{"title":"Plafond"}];{"position":1};0;
7;2;0;0;Which of these is “2 Chaises et 2 Murs?”;NUMERIC;[{"localImage":2131165379},{"localImage":2131165284},{"localImage":2131165391},{"localImage":2131165390}];{"position":3};0;
8;2;0;0;Which of these is "Floor"?”;VAQUESTION;[{"title":"Par terre"},{"title":"Table"},{"title":"Chaise"},{"title":"Mur"}];{"position":0};0;
0;3;0;0;Which of these is "Wall"?;MCQUESTION;[{"title":"Chaise"},{"title":"Table"},{"title":"Mur"},{"title":"Plafond"}];{"position":2};0;
2;3;0;0;Which of these is "Floor"?;MCQUESTION;[{"title":"Chaise"},{"title":"Par terre"},{"title":"Mur"},{"title":"Plafond"}];{"position":1};0;
3;3;0;0;Which of theses is "Ceiling"?;MCQUESTION;[{"title":"Plafond"},{"title":"Table"},{"title":"Chaise"},{"title":"Par terre"}];{"position":0};0;
4;3;0;0;Which of this is "Chair"?;MCQUESTION;[{"title":"Chaise"},{"title":"Cher"},{"title":"Charbon"},{"title":"Chère"}];{"position":0};0;
5;3;0;0;Which of these is "Wall"?;MCQUESTION;[{"title":"Moi"},{"title":"Mur"},{"title":"Molle"},{"title":"Mots"}];{"position":1};0;
6;3;0;0;Which of theses is "Table"?;MCQUESTION;[{"title":"Terre"},{"title":"Table"},{"title":"Ton"},{"title":"Tables"}];{"position":1};0;
7;3;0;0;Which of these is "Floor"?;MCQUESTION;[{"title":"Plafond"},{"title":"Pomme de terre"},{"title":"Par terre"},{"title":"Parquet"}];{"position":2};0;
8;3;0;0;Which of these is "Ceiling"?”;MCQUESTION;[{"title":"Plat"},{"title":"Par terre"},{"title":"Parquet"},{"title":"Plafond"}];{"position":3};0;
